Main_Site_ID,Hospital_Type,Number_of_Program_Sites,Number_of_DSC_Certifications,Number_of_NonDSC_Certifications,System_Affiliation,Volume_Program,Accreditation_Decision,Volume_Year,Opdate_In_eapp,Org_Volume_Category,Setting,Volume_Name,Average_Daily_Census,Visits,Beds
409776, Psychiatric,2,0,0,N,HAP     ,Unaccredited,2013,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,34,12410,36
17536, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,42,15330,55
17560, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,159,58035,172
17580, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",35,12775,36
17580, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,51,18615,64
331093, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,35,12775,60
210550, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,26,9490,32
507678, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,88,32120,104
210555,None,0,0,0,Y,HAP     ,Unaccredited,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,4,1460,24
210557, Psychiatric,1,0,0,N,HAP     ,Preliminary Denial of Accreditation,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,29,10585,68
210558, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",11,4015,15
210558, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,76,27740,127
543136, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,75,27375,92
421484, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Follow-up Survey,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",15,5475,30
421484, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Follow-up Survey,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,85,31025,125
573291, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,117,42705,155
523589, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,13,4745,16
210616, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",18,6570,18
210616, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,117,42705,125
210618, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,120,43800,120
21803, Psychiatric,1,0,0,N,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,552,201480,552
210628, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",12,4380,16
210628, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,50,18250,131
210631, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,45,16425,79
210634, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,174,63510,178
210643, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,87,31755,117
210652, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",12,4380,12
210652, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,27,9855,46
210654, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",7,2555,18
210654, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,48,17520,77
148744, Psychiatric,1,0,0,N,HAP     ,Unaccredited,2014,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,54,19710,54
210661, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,109,39785,144
497170, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,179,65335,182
497170, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,546,0
347227, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,250,91250,260
210691, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,41,14965,69
485522, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,282,102930,291
17967, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,25,9125,28
210701, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,146,53290,196
210708, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2018,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",2,730,16
210708, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2018,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,63,22995,92
527036, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",13,4745,24
527036, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,378,137970,506
17995, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,145,52925,183
210722, Psychiatric,1,0,0,Y,HAP     ,Unaccredited,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,112,40880,175
521352, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",14,5110,37
521352, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,33,12045,64
210739, Academic,26,2,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Inpatient",Academic,Academic,463,168995,845
210739, Academic,26,2,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,35,12775,46
210739, Academic,26,2,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,106590,0
210739, Academic,26,2,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,910127,0
210741, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",15,5475,20
210741, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,51,18615,90
210751, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",8,2920,17
210751, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,72,26280,105
355602, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",1,365,4
355602, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,39,14235,54
200777, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",12,4380,44
200777, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,110,40150,127
210759,None,0,0,0,N,HAP     ,Delete Org/Program/Disease,2016,N,"Volumes, Inpatient, BHS",Inpatient,Eating Disorders,4,1460,4
210759,None,0,0,0,N,HAP     ,Delete Org/Program/Disease,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,17,6205,30
210759,None,0,0,0,N,HAP     ,Delete Org/Program/Disease,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",18,6570,30
428945, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,Y,"Volumes, Inpatient, BHS",Inpatient,Mental Health,99,36135,114
210783, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,399,145635,399
210787, Rehabilitation,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,0,0
210787, Rehabilitation,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,0,0
210787, Rehabilitation,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Inpatient",Physical Rehabilitation Hospital,Rehabilitation,84,30660,94
508466, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,58,21170,87
210801, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",30,10950,42
210801, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,35,12775,56
18287, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2013,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,179,65335,180
531739, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,161,58765,213
371009, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2014,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,36,13140,44
18861, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,6,2190,16
210834,None,0,0,0,Y,HAP     ,Unaccredited,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",29,10585,30
210838, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,43,15695,52
210839,None,0,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Eating Disorders,1,365,1
210839,None,0,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,3,1095,6
210839,None,0,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",3,1095,8
577326, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,60,21900,84
587071, Psychiatric,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",5,1825,10
587071, Psychiatric,7,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,122,44530,124
210891, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",8,2920,10
210891, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,44,16060,44
19741, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2015,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,126,45990,152
210892, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,36,13140,83
210893, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,65,23725,87
210905, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,92,33580,100
210915, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,48,17520,68
210916, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",1,365,1
210916, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,103,37595,139
560878, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",4,1460,8
560878, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,76,27740,84
25320, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,165,60225,180
210943, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,96,35040,117
501286, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,68,24820,80
18726, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,102,37230,110
384954, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,152,55480,168
210959, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,20,7300,22
210966, Psychiatric,1,0,0,Y,HAP     ,Unaccredited,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,72,26280,100
210967, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,98,35770,150
16962, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,225,82125,246
16964, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,140,51100,140
521361, Psychiatric,1,0,0,N,HAP     ,Unaccredited,2013,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,121,44165,125
210977, Psychiatric,3,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,62,22630,62
210977, Psychiatric,3,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,43267,0
100472, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,16,5840,16
394188, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,128,46720,237
210999, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",14,5110,20
210999, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,158,57670,180
211022, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,281,102565,302
211023, General,1,0,0,N,HAP     ,Unaccredited,2012,N,"Volumes, Hospital, Inpatient",General Medical/Surgical Hospital,General,2,730,8
211023, General,1,0,0,N,HAP     ,Unaccredited,2012,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,0,0
211023, General,1,0,0,N,HAP     ,Unaccredited,2012,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, Emergency Room",0,0,0
211027, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,81,29565,125
211030, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,268,97820,268
211045, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,27,9855,27
211053, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,193,70445,193
17163, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,264,96360,264
211057, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,151,55115,168
211058, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,140,51100,170
608129, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,175,63875,213
500139,None,0,0,0,N,HAP     ,Delete Org/Program/Disease,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,20,7300,20
17213,None,1,0,0,N,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,10,3650,16
211079, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",1,365,1
211079, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,6,2190,15
211086, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,225,82125,277
211096, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,1133,413545,1275
17278, Psychiatric,5,0,0,N,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,20,7300,20
17278, Psychiatric,5,0,0,N,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",40,14600,40
17278, Psychiatric,5,0,0,N,HAP     ,Accreditation with Follow-up Survey,2017,N,"Volumes, Hospital, Outpatient",Outpatient,"Outpatient, Hospital, General",0,22134,0
211105, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,100,36500,120
211111, Psychiatric,1,0,0,N,HAP     ,Unaccredited,2013,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",13,4745,15
211111, Psychiatric,1,0,0,N,HAP     ,Unaccredited,2013,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,84,30660,163
211114, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",2,730,5
211114, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,38,13870,100
403653, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,37,13505,51
17335, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",29,10585,29
17335, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,80,29200,111
211130, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2014,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,88,32120,88
211138, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,130,47450,171
211141, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2013,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",3,1095,5
211141, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2013,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,37,13505,49
211154, Psychiatric,1,0,0,N,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,383,139795,383
525371, Psychiatric,1,0,0,N,HAP     ,Unaccredited,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,240,87600,260
211162, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",12,4380,14
211162, Psychiatric,2,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,45,16425,74
166152, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",33,12045,38
166152, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,147,53655,170
572457, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",3,1095,3
572457, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,60,21900,83
17471, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,85,31025,85
211181, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2012,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,1500,547500,1527
211185, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,656,239440,1106
211186, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2016,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,59,21535,85
211188, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,"Addictions, General",5,1825,14
211188, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,67,24455,94
211189, Psychiatric,1,0,0,Y,HAP     ,Accreditation with Full Standards Compliance,2017,N,"Volumes, Inpatient, BHS",Inpatient,Mental Health,63,22995,97
