Main_Site_ID,Program,Program_Code,Hospital_Type,Survey_Event_Type,Survey_Begin_Date,Survey_End_Date,Survey_Decision,System_Affiliation,Count_NonCompliant_Standards,Count_NonCompliant_EPs,Total_Surveyor_Days,Number_of_Surveyors,Number_of_Surveyor_Class_Types,Survey_Event_ID,Survey_Event_Program_ID
210557,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/12/17,12/14/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,31,41,8,3,2,41578535,41578534
26033,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Initial Unannounced Full Event          ,9/21/15,9/22/15,Pending                                                                                                                                                                                                                                                        ,0,8,11,4,2,2,39921005,39921004
17824,Critical Access Hospital Accreditation Program,CAH     , Acute Care,Unannounced Full Event                  ,7/17/17,7/18/17,Pending                                                                                                                                                                                                                                                        ,1,10,14,4,2,2,41196689,41196688
212206,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,9/2/15,9/3/15,Pending                                                                                                                                                                                                                                                        ,0,8,10,4,2,2,39793584,39793583
17694,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,10/12/17,10/13/17,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,31,38,6,3,3,41325527,41325526
212216,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/4/16,1/8/16,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,40,59,32,8,8,40342598,40342597
212216,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/8/17,8/11/17,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,43,72,24,7,8,41457501,41457500
212217,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/13/15,4/15/15,Pending                                                                                                                                                                                                                                                        ,1,9,12,11,4,4,39502932,39502931
389922,Critical Access Hospital Accreditation Program,CAH     ," Acute Care, Swing Beds",Unannounced Full Event                  ,8/31/15,9/1/15,Pending                                                                                                                                                                                                                                                        ,1,10,11,4,2,2,39759301,39759302
470992,Critical Access Hospital Accreditation Program,CAH     ," Acute Care, Swing Beds",Unannounced Full Event                  ,7/11/17,7/13/17,Pending                                                                                                                                                                                                                                                        ,0,22,32,5,2,3,41297138,41297137
82140,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/13/17,2/15/17,Pending                                                                                                                                                                                                                                                        ,1,12,18,5,2,2,40706424,40706423
17797,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Initial Unannounced Full Event          ,7/11/16,7/13/16,Pending                                                                                                                                                                                                                                                        ,0,6,7,4,2,2,40549267,40549268
581332,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/8/16,12/9/16,Pending                                                                                                                                                                                                                                                        ,0,23,29,6,3,3,40631545,40631544
18182,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/12/17,9/14/17,Pending                                                                                                                                                                                                                                                        ,0,27,41,8,3,3,41599054,41599053
212225,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/22/17,2/23/17,Pending                                                                                                                                                                                                                                                        ,1,12,19,6,3,3,40855508,40855507
212228,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/14/15,7/17/15,Pending                                                                                                                                                                                                                                                        ,0,20,21,10,3,3,39554417,39554416
212229,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/19/17,9/22/17,Pending                                                                                                                                                                                                                                                        ,0,31,46,23,7,5,41380209,41380208
212230,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,9/24/15,9/25/15,Pending                                                                                                                                                                                                                                                        ,0,16,19,4,2,2,39651937,39651936
31237,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,12/7/15,12/8/15,Pending                                                                                                                                                                                                                                                        ,1,4,4,4,2,2,39839299,39839298
19433,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,4/10/17,4/12/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,26,31,8,3,3,41217526,41217525
534544,Critical Access Hospital Accreditation Program,CAH     ," Acute Care, Swing Beds",Unannounced Full Event                  ,7/26/16,7/28/16,Pending                                                                                                                                                                                                                                                        ,1,5,6,5,2,2,40251324,40251323
18405,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/14/16,6/17/16,Pending                                                                                                                                                                                                                                                        ,1,25,35,10,4,4,40264089,40264088
212235,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/31/17,8/4/17,Pending                                                                                                                                                                                                                                                        ,1,21,36,37,8,6,41297343,41297342
580975,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/9/16,2/12/16,Pending                                                                                                                                                                                                                                                        ,1,16,22,19,8,6,40224518,40224517
212261,Critical Access Hospital Accreditation Program,CAH     ," Swing Beds, Acute Care",Unannounced Full Event                  ,6/1/16,6/2/16,Pending                                                                                                                                                                                                                                                        ,1,15,27,4,2,2,40375730,40375729
212262,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,7/18/17,7/21/17,Pending                                                                                                                                                                                                                                                        ,1,25,34,18,5,5,41204548,41204547
212264,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/18/17,1/20/17,Pending                                                                                                                                                                                                                                                        ,0,21,27,5,2,2,41061911,41061910
515383,Hospital Accreditation Program,HAP     , Academic,Unannounced Full Event                  ,7/13/15,7/17/15,Pending                                                                                                                                                                                                                                                        ,1,20,26,28,7,7,39665196,39665195
18264,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/29/16,3/3/16,Pending                                                                                                                                                                                                                                                        ,1,14,16,11,4,5,40423385,40423384
212273,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/3/15,3/6/15,Pending                                                                                                                                                                                                                                                        ,1,13,14,7,3,3,39325239,39325238
212273,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/19/17,12/21/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,27,29,8,3,3,41806397,41806396
212275,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/22/15,9/25/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,31,45,11,4,4,39691812,39691811
212281,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/7/15,12/11/15,Pending                                                                                                                                                                                                                                                        ,0,14,20,11,3,3,39852718,39852717
471731,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,5/16/17,5/18/17,Pending                                                                                                                                                                                                                                                        ,0,9,10,8,4,3,41214726,41214725
212293,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/21/17,3/24/17,Pending                                                                                                                                                                                                                                                        ,1,15,19,10,3,3,41015955,41015954
542267,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,8/2/16,8/4/16,Pending                                                                                                                                                                                                                                                        ,0,18,23,7,3,2,40463689,40463688
532577,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/24/17,1/27/17,Pending                                                                                                                                                                                                                                                        ,1,14,19,14,4,3,40716520,40716519
212306,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/6/17,6/9/17,Pending                                                                                                                                                                                                                                                        ,0,24,33,8,3,3,41110476,41110475
212307,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/12/16,12/14/16,Pending                                                                                                                                                                                                                                                        ,1,25,35,9,4,4,40728020,40728019
17209,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/27/17,6/30/17,Pending                                                                                                                                                                                                                                                        ,1,20,25,10,3,3,41196714,41196713
212310,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/24/15,3/27/15,Pending                                                                                                                                                                                                                                                        ,1,15,16,11,4,4,39588913,39588912
212311,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,10/11/17,10/13/17,Pending                                                                                                                                                                                                                                                        ,0,24,37,9,4,2,41294582,41294581
212316,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/13/16,9/16/16,Pending                                                                                                                                                                                                                                                        ,0,32,43,14,5,3,40506404,40506403
212323,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,4/19/16,4/22/16,Pending                                                                                                                                                                                                                                                        ,1,25,34,15,4,3,40239513,40239512
212325,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/15/15,12/18/15,Pending                                                                                                                                                                                                                                                        ,1,17,25,12,5,4,40050416,40050415
212330,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/22/16,3/25/16,Pending                                                                                                                                                                                                                                                        ,1,14,17,10,3,3,40121089,40121088
17886,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,4/12/16,4/15/16,Pending                                                                                                                                                                                                                                                        ,1,15,17,10,3,3,40116974,40116973
212333,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,11/21/16,11/23/16,Pending                                                                                                                                                                                                                                                        ,0,15,18,7,3,2,40713681,40713680
391165,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,10/24/16,10/26/16,Pending                                                                                                                                                                                                                                                        ,0,23,32,9,4,4,40916813,40916812
212339,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,10/2/17,10/4/17,Pending                                                                                                                                                                                                                                                        ,0,16,21,8,3,3,41193479,41193478
212340,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/22/15,9/25/15,Pending                                                                                                                                                                                                                                                        ,0,13,14,10,3,3,39820489,39820488
212341,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/9/15,9/11/15,Pending                                                                                                                                                                                                                                                        ,0,11,14,8,3,3,39645141,39645140
212342,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/13/15,1/15/15,Pending                                                                                                                                                                                                                                                        ,1,19,24,11,4,3,39260943,39260942
212342,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,11/6/17,11/8/17,Pending                                                                                                                                                                                                                                                        ,1,32,43,11,4,3,41433331,41433330
212344,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,4/25/16,4/27/16,Pending                                                                                                                                                                                                                                                        ,0,21,26,11,4,3,40143767,40143766
18386,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/20/16,1/29/16,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,29,39,7,3,3,40097042,40097041
18386,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/6/17,9/8/17,Pending                                                                                                                                                                                                                                                        ,0,27,42,12,5,3,41438326,41438325
212346,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/5/16,1/8/16,Pending                                                                                                                                                                                                                                                        ,0,20,26,8,3,2,40016866,40016865
212347,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,9/27/16,9/30/16,Pending                                                                                                                                                                                                                                                        ,0,24,28,15,5,4,40549331,40549330
212349,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,5/10/16,5/12/16,Pending                                                                                                                                                                                                                                                        ,1,25,29,9,4,4,40248522,40248521
212351,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/11/16,1/15/16,Pending                                                                                                                                                                                                                                                        ,1,36,46,11,3,3,39943692,39943691
212352,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/26/17,6/28/17,Pending                                                                                                                                                                                                                                                        ,1,24,34,8,3,3,41201917,41201916
274681,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,8/22/16,8/26/16,Pending                                                                                                                                                                                                                                                        ,1,17,20,15,4,4,40472563,40472562
16984,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,11/9/15,11/11/15,Pending                                                                                                                                                                                                                                                        ,1,22,26,8,3,3,39831995,39831994
16991,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/11/16,1/15/16,Pending                                                                                                                                                                                                                                                        ,0,28,32,14,4,5,39963451,39963450
587116,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,2/24/15,2/26/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,23,24,8,3,3,39398549,39398548
587116,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,12/18/17,12/26/17,Pending                                                                                                                                                                                                                                                        ,1,29,41,8,4,3,41640812,41640811
212363,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,2/6/17,2/8/17,Pending                                                                                                                                                                                                                                                        ,0,22,34,7,3,2,40806655,40806654
212364,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/16/15,6/19/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,18,26,11,4,4,39551947,39551946
358996,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/16/17,5/19/17,Pending                                                                                                                                                                                                                                                        ,0,18,22,16,5,5,41099935,41099934
579814,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,8/15/17,8/18/17,Pending                                                                                                                                                                                                                                                        ,1,18,30,11,4,4,41245318,41245317
212368,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/6/17,6/8/17,Pending                                                                                                                                                                                                                                                        ,0,14,18,11,4,2,41384557,41384556
212371,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,7/26/16,7/29/16,Pending                                                                                                                                                                                                                                                        ,1,20,27,12,4,4,40378319,40378318
212376,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,9/27/16,9/30/16,Pending                                                                                                                                                                                                                                                        ,1,24,32,28,9,9,40592304,40592303
212378,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,4/19/16,4/22/16,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,0,10,14,10,3,3,40291370,40291369
580736,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,4/11/16,4/13/16,Pending                                                                                                                                                                                                                                                        ,0,16,19,8,3,3,40198785,40198784
18279,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/15/16,3/18/16,Pending                                                                                                                                                                                                                                                        ,0,15,16,11,3,3,40065490,40065489
212401,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,1/26/16,1/29/16,Pending                                                                                                                                                                                                                                                        ,1,14,19,11,4,4,39940462,39940461
212403,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,6/13/16,6/17/16,Pending                                                                                                                                                                                                                                                        ,1,22,33,17,4,2,40376097,40376096
212411,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,3/23/15,3/27/15,Pending                                                                                                                                                                                                                                                        ,0,13,13,17,4,4,39392117,39392116
212414,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,11/30/16,12/2/16,Pending                                                                                                                                                                                                                                                        ,1,14,16,7,3,3,40559953,40559952
212415,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,5/12/15,5/15/15,Pending                                                                                                                                                                                                                                                        ,0,15,21,10,3,5,39492366,39492365
21734,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,2/17/16,2/19/16,Pending                                                                                                                                                                                                                                                        ,1,11,19,8,3,3,40017419,40017418
213733,Hospital Accreditation Program,HAP     , Long Term Acute Care,Unannounced Full Event                  ,10/17/17,10/19/17,Pending                                                                                                                                                                                                                                                        ,1,11,13,5,2,2,41365742,41365741
213736,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,4/27/17,4/28/17,Pending                                                                                                                                                                                                                                                        ,0,22,31,6,3,3,41047694,41047693
22181,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,3/14/17,3/16/17,Pending                                                                                                                                                                                                                                                        ,1,12,14,5,2,2,40934860,40934859
213741,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,10/18/16,10/21/16,Pending                                                                                                                                                                                                                                                        ,1,13,17,11,4,6,40547287,40547286
213754,Hospital Accreditation Program,HAP     , Psychiatric,Unannounced Full Event                  ,2/7/17,2/10/17,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,1,36,47,10,3,3,40812507,40812506
46783,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,6/16/15,6/19/15,Pending                                                                                                                                                                                                                                                        ,0,15,16,16,6,6,39581919,39581918
23086,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/31/17,6/2/17,Pending                                                                                                                                                                                                                                                        ,1,21,37,14,5,5,41065598,41065597
213758,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,5/3/16,5/6/16,Pending                                                                                                                                                                                                                                                        ,1,5,5,11,4,4,40385407,40385406
568226,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,8/14/17,8/18/17,Pending                                                                                                                                                                                                                                                        ,1,38,54,35,8,8,41260050,41260049
213768,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,9/28/15,9/29/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,18,22,6,3,3,39762366,39762365
213771,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,2/4/15,2/6/15,Pending                                                                                                                                                                                                                                                        ,0,12,13,5,2,3,39412979,39412978
374442,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,10/8/15,10/9/15,Accreditation with Follow-up Survey                                                                                                                                                                                                                            ,1,17,20,6,3,3,39775523,39775522
374442,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,8/15/17,8/18/17,Pending                                                                                                                                                                                                                                                        ,1,28,28,6,2,2,41220133,41220132
25638,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,3/3/15,3/6/15,Preliminary Denial of Accreditation                                                                                                                                                                                                                            ,0,35,41,14,4,5,39465515,39465514
213772,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,1/27/15,1/30/15,Pending                                                                                                                                                                                                                                                        ,1,20,27,15,5,6,39244420,39244419
213772,Hospital Accreditation Program,HAP     , General,Unannounced Full Event                  ,12/5/17,12/8/17,Pending                                                                                                                                                                                                                                                        ,1,27,29,14,4,5,41566715,41566714
23948,Hospital Accreditation Program,HAP     , Rehabilitation,Unannounced Full Event                  ,8/10/15,8/11/15,Pending                                                                                                                                                                                                                                                        ,1,13,15,6,3,3,39758314,39758312
